pct_length                 wc                       hc                       hrib                     wrib                     Uin                      Pressure
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    3.4000000000000004       95.74108657086514
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    5.05                     196.36681002207138
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    6.7                      328.78397921913285
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    8.35                     491.4266208012617
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    10                       683.1502300142832
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    0.1                      0.5903582212058288
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    1.7500000000000002       32.91313247535358
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    3.4000000000000004       107.39095848357749
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    5.05                     220.58573008431102
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    6.7                      369.4568258004047
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    8.35                     552.1725201436104
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.5000000000000001E-4    10                       767.5573639748234
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   0.1                      0.19448676082443736
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   1.7500000000000002       12.724871793139776
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   3.4000000000000004       40.64537908709298
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   5.05                     82.83492614972921
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   6.7                      138.37264325693081
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   8.35                     206.51779957852273
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     5.0E-5                   10                       286.6990387872748
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     0.1                      0.2667978941908173
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     1.7500000000000002       14.901636309594952
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     3.4000000000000004       47.24940739186184
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     5.05                     96.18550679152439
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     6.7                      160.47119127990854
